CONSTITUENCY,WINNER,PARTY,STATE,YEAR
TIRUCHENGODE,KOLANTHAIVELU R.,ADK,Tamil Nadu,1977
NILGIRIS,RAMALINGAM P.S.,ADK,Tamil Nadu,1977
GOBICHETTIPALAYAM,RAMASWAMY K.S.,INC,Tamil Nadu,1977
COIMBATORE,PARVATHI KRISHNAN,CPI,Tamil Nadu,1977
POLLACHI (SC),RAJU K.A.,ADK,Tamil Nadu,1977
PALANI,SUBRAMANIAM C.,INC,Tamil Nadu,1977
DINDIGUL,MAYA THEVAR K.,ADK,Tamil Nadu,1977
MADURAI,SWAMINATHAN R.V.,INC,Tamil Nadu,1977
PERIYAKULAM,RAMASAMY S.,ADK,Tamil Nadu,1977
KARUR,GOPAL K.,INC,Tamil Nadu,1977
TIRUCHIRAPPALLI,M. KALYANASUNDARAM,CPI,Tamil Nadu,1977
PERAMBALUR (SC),ASOKARAJ A.,ADK,Tamil Nadu,1977
MAYILADUTURAI,KUDANTHAI RAMALINGAM N.,INC,Tamil Nadu,1977
NAGAPATTINAM (SC),MURUGAIYAN S.G.,CPI,Tamil Nadu,1977
THANJAVUR,SOMASUNDARAM S.D.,ADK,Tamil Nadu,1977
PUDUKKOTTAI,ELANCHEZHIAN V.S.,ADK,Tamil Nadu,1977
SIVAGANGA,P.THIAGARAJAN,ADK,Tamil Nadu,1977
RAMANATHAPURAM,ANBALAGAN P.,ADK,Tamil Nadu,1977
SIVAKASI,V. JAYALAKSHMI,INC,Tamil Nadu,1977
TIRUNELVELI,ARUNACHALAM V.,ADK,Tamil Nadu,1977
TENKASI (SC),ARUNACHALAM M.,INC,Tamil Nadu,1977
TIRUCHENDUR,KOSALARAM K.T.,INC,Tamil Nadu,1977
NAGERCOIL,KUMARI ANANTHAN,NCO,Tamil Nadu,1977
TRIPURA WEST,SACHINDRALAL SINGHA,BLD,Tripura,1977
TRIPURA EAST (ST),KIRIT BIKRAM KISHORE DEB BARMA,INC,Tripura,1977
TEHRI GARHWAL,TREPANSINGH NEGI,BLD,Uttar Pradesh,1977
GARHWAL,JAGANNATH SHARMA,BLD,Uttar Pradesh,1977
ALMORA,MURLI MANOHAR JOSHI,BLD,Uttar Pradesh,1977
NAINITAL,BHARAT BHUSHAN,BLD,Uttar Pradesh,1977
BIJNOR (SC),MAHI LAL,BLD,Uttar Pradesh,1977
AMROHA,CHANDRAPAL SINGH,BLD,Uttar Pradesh,1977
MORADABAD,GULAM MOHD. KHAN,BLD,Uttar Pradesh,1977
RAMPUR,RAJENDRA KUMAR SHARMA,BLD,Uttar Pradesh,1977
SAMBHAL,SHANTI DEVI,BLD,Uttar Pradesh,1977
BUDAUN,ONKAR SINGH,BLD,Uttar Pradesh,1977
AONLA,BRIJ RAJ SINGH,BLD,Uttar Pradesh,1977
BAREILLY,RAM MURTI,BLD,Uttar Pradesh,1977
PILIBHIT,MOHD. SHAMUSUL HASAN KHAN,BLD,Uttar Pradesh,1977
SHAHJAHANPUR,SURENDRA VIKRAM,BLD,Uttar Pradesh,1977
KHERI,S.B. SHAH,BLD,Uttar Pradesh,1977
SHAHABAD,GANGA BHAKT SINGH,BLD,Uttar Pradesh,1977
SITAPUR,HARGOVIND VERMA,BLD,Uttar Pradesh,1977
MISRIKH (SC),RAM LAL RAHI,BLD,Uttar Pradesh,1977
HARDOI (SC),PARMAI LAL,BLD,Uttar Pradesh,1977
LUCKNOW,HEMWATI NANDAN BAHUGUNA,BLD,Uttar Pradesh,1977
MOHANLALGANJ (SC),RAM LAL KURIL,BLD,Uttar Pradesh,1977
UNNAO,RAGHAVENDRA SINGH,BLD,Uttar Pradesh,1977
RAE BARELI,RAJ NARAIN,BLD,Uttar Pradesh,1977
PRATAPGARH,ROOP NATH SINGH YADAVA,BLD,Uttar Pradesh,1977
AMETHI,RAVINDRA PRATAP SINGH,BLD,Uttar Pradesh,1977
SULTANPUR,ZULFIKAR ULLAH,BLD,Uttar Pradesh,1977
AKBARPUR (SC),MANGAL DEO VISHARAD,BLD,Uttar Pradesh,1977
FAIZABAD,ANANT RAM JAISWAL,BLD,Uttar Pradesh,1977
BARA BANKI (SC),RAM KINKAR,BLD,Uttar Pradesh,1977
KAISERGANJ,RUDRA SEN,BLD,Uttar Pradesh,1977
BAHRAICH,OM PRAKASH TYAGI,BLD,Uttar Pradesh,1977
BALRAMPUR,NANAJI DESHMUKH,BLD,Uttar Pradesh,1977
GONDA,SATYA DEO SINGH,BLD,Uttar Pradesh,1977
BASTI (SC),SHEO NARAIN,BLD,Uttar Pradesh,1977
DOMARIAGANJ,MADHAV PRASAD TRIPATHI,BLD,Uttar Pradesh,1977
KHALILABAD,BRIJ BHUSHAN TIWARI,BLD,Uttar Pradesh,1977
BANSGAON (SC),PHIRANGI PRASAD,BLD,Uttar Pradesh,1977
GORAKHPUR,HARIKESH BAHADUR,BLD,Uttar Pradesh,1977
MAHARAJGANJ,SHIBBAN LAL SAKSENA,BLD,Uttar Pradesh,1977
PADRAUNA,RAM DHARI SHASTRI,BLD,Uttar Pradesh,1977
DEORIA,UGRASEN,BLD,Uttar Pradesh,1977
SALEMPUR,RAM NARESH KUSHWAHA,BLD,Uttar Pradesh,1977
BALLIA,CHANDRA SHEKHAR,BLD,Uttar Pradesh,1977
GHOSI,SHIVRAM,BLD,Uttar Pradesh,1977
AZAMGARH,RAM NARESH,BLD,Uttar Pradesh,1977
LALGANJ (SC),RAMDHAN,BLD,Uttar Pradesh,1977
MACHHLISHAHR,RAJ KESHAR SINGH,BLD,Uttar Pradesh,1977
JAUNPUR,YADVENDRA DUTTA DUBEY,BLD,Uttar Pradesh,1977
SAIDPUR (SC),RAM SAGAR,BLD,Uttar Pradesh,1977
GHAZIPUR,GAURI SHANKER RAI,BLD,Uttar Pradesh,1977
CHANDAULI,NARSINGH,BLD,Uttar Pradesh,1977
VARANASI,CHANDRA SHEKHER,BLD,Uttar Pradesh,1977
ROBERTSGANJ (SC),SHEO SAMPAT,BLD,Uttar Pradesh,1977
MIRZAPUR,FAQIR ALI,BLD,Uttar Pradesh,1977
PHULPUR,KAMALA BAHUGUNA,BLD,Uttar Pradesh,1977
ALLAHABAD,JANESHWAR MISHRA,BLD,Uttar Pradesh,1977
CHAIL (SC),RAM NIHOR RAKESH,BLD,Uttar Pradesh,1977
FATEHPUR,BASHIR AHMAD,BLD,Uttar Pradesh,1977
BANDA,AMBIKA PRASAD,BLD,Uttar Pradesh,1977
HAMIRPUR,TEJ PRATAP SINGH,BLD,Uttar Pradesh,1977
JHANSI,SUSHILA NAIYAR,BLD,Uttar Pradesh,1977
JALAUN (SC),RAMCHARAN,BLD,Uttar Pradesh,1977
GHATAMPUR (SC),JWALA PRASAD KUREEL,BLD,Uttar Pradesh,1977
BILHAUR,RAM GOPAL SINGH,BLD,Uttar Pradesh,1977
KANPUR,MANOHAR LAL,BLD,Uttar Pradesh,1977
ETAWAH,ARJUN SINGH BHADORIA,BLD,Uttar Pradesh,1977
KANNAUJ,RAM PRAKASH TRIPATHI,BLD,Uttar Pradesh,1977
FARRUKHABAD,DAYA RAM SHAKYA,BLD,Uttar Pradesh,1977
MAINPURI,RAGHUNATH SINGH VERMA,BLD,Uttar Pradesh,1977
JALESAR,MULTAN SINGH CHAUDHARY,BLD,Uttar Pradesh,1977
ETAH,MAHADEEPAK SINGH,BLD,Uttar Pradesh,1977
FIROZABAD (SC),RAMJI LAL SUMAN,BLD,Uttar Pradesh,1977
AGRA,SHAMBHU NATH CHATURVEDI,BLD,Uttar Pradesh,1977
MATHURA,MANIRAM,BLD,Uttar Pradesh,1977
HATHRAS (SC),RAM PRASAD DESHMUKH,BLD,Uttar Pradesh,1977
ALIGARH,NAWAB SINGH CHAUHAN,BLD,Uttar Pradesh,1977
KHURJA (SC),MOHAN LAL,BLD,Uttar Pradesh,1977
BULANDSHAHR,MAHMOOD HASSAN KHAN,BLD,Uttar Pradesh,1977
HAPUR,KUNWAR MAHOOD ALI KHAN,BLD,Uttar Pradesh,1977
MEERUT,KAILASH PRAKASH,BLD,Uttar Pradesh,1977
BAGHPAT,CHAUDHARI CHARAN SINGH,BLD,Uttar Pradesh,1977
MUZAFFARNAGAR,SAEED MURTAZA,BLD,Uttar Pradesh,1977
KAIRANA,CHANDAN SINGH,BLD,Uttar Pradesh,1977
SAHARANPUR,RASHEED MASOOD,BLD,Uttar Pradesh,1977
HARDWAR (SC),BHAGWAN DASS,BLD,Uttar Pradesh,1977
COOCH BEHAR (SC),AMRENDRANATH ROY PRADHAN,FBL,West Bengal,1977
ALIPURDUARS (ST),PIUS TIRKEY,RSP,West Bengal,1977
JALPAIGURI,KHAGENDRA NATH DASGUPTA,IND,West Bengal,1977
DARJEELING,KRISHNA BAHADUR CHETTRI,INC,West Bengal,1977
RAIGANJ,MD. HAYAT ALI,BLD,West Bengal,1977
BALURGHAT (SC),PALAS BARMAN,RSP,West Bengal,1977
MALDA,DINESH CHANDRA JOARDAR,CPM,West Bengal,1977
JANGIPUR,SASANKASEKHER SANYAL,CPM,West Bengal,1977
MURSHIDABAD,SYED KAZIM ALI MEERZA,BLD,West Bengal,1977
BERHAMPORE,TRIDIP CHAUDHURI,RSP,West Bengal,1977
KRISHNAGAR,RENUPADA DAS,CPM,West Bengal,1977
NABADWIP (SC),BIBHA GHOSH (GOSWAMI),CPM,West Bengal,1977
BARASAT,CHITTA BASU,FBL,West Bengal,1977
BASIRHAT,ALHAJ M.A. HANNAN,BLD,West Bengal,1977
JOYNAGAR (SC),SAKTI KUMAR SARKAR,BLD,West Bengal,1977
MATHURAPUR (SC),MUKUNDA KUMAR MONDAL,CPM,West Bengal,1977
DIAMOND HARBOUR,JYOTIRMOY BASU,CPM,West Bengal,1977
JADAVPUR,SOMNATH CHATTERJEE,CPM,West Bengal,1977
BARRACKPORE,SOUGATA ROY,INC,West Bengal,1977
DUM DUM,ASOKE KRISHNA DUTT,BLD,West Bengal,1977
CALCUTTA NORTH WEST,BIJOY SINGH NAHAR,BLD,West Bengal,1977
CALCUTTA NORTH EAST,PRATAP CHANDRA CHUNDER,BLD,West Bengal,1977
CALCUTTA SOUTH,DILIP CHAKRAVARTY,BLD,West Bengal,1977
HOWRAH,SAMAR MUKHERJEE 11DHARMATALA LANE,CPM,West Bengal,1977
ULUBERIA,SHYAMAPRASANNA BHATTACHARYYA,CPM,West Bengal,1977
SERAMPORE,DINEN BHATTACHARYA,CPM,West Bengal,1977
HOOGHLY,BIJOY KRISHNA MODAK,CPM,West Bengal,1977
ARAMBAGH,PRAFULLA CHANDRA SEN,BLD,West Bengal,1977
PANSKURA,ABHA MAITI,BLD,West Bengal,1977
TAMLUK,SUSHIL KUMAR DHARA,BLD,West Bengal,1977
CONTAI,GUHA SAMAR,BLD,West Bengal,1977
MIDNAPORE,GHOSAL SUDHIR KUMAR,BLD,West Bengal,1977
JHARGRAM (ST),JADUNATH KISKU,CPM,West Bengal,1977
PURULIA,CHITTARANJAN MAHATA,FBL,West Bengal,1977
BANKURA,MONDAL BIJOY,BLD,West Bengal,1977
VISHNUPUR (SC),AJIT KUMAR SAHA,CPM,West Bengal,1977
DURGAPUR (SC),KRISHNA CHANDRA HALDAR,CPM,West Bengal,1977
ASANSOL,ROBIN SEN,CPM,West Bengal,1977
BURDWAN,RAJ KRISHNA DAWN,BLD,West Bengal,1977
KATWA,DHIRENDRA NATH BASU,INC,West Bengal,1977
BOLPUR,SARADISH ROY,CPM,West Bengal,1977
BIRBHUM (SC),GADADHAR SAHA,CPM,West Bengal,1977
ANDAMAN & NICOBAR ISLANDS,MANORANJAN BHAKTA,INC,Andaman and Nicobar,1977
CHANDIGARH,KRISHNA KANT,BLD,Chandigarh,1977
DADRA & NAGAR HAVELI,PATEL RAMUBHAI RAVJIBHAI,INC,Dadra & Nagar Haveli,1977
NEW DELHI,ATAL BIHARI VAJPAYEE,BLD,Delhi NCR,1977
SOUTH DELHI,VIJAY KUMAR MALHOTRA,BLD,Delhi NCR,1977
OUTER DELHI,BRAHM PERKASH,BLD,Delhi NCR,1977
EAST DELHI,KISHORE LAL,BLD,Delhi NCR,1977
CHANDNI CHOWK,SIKANDER BAKHT,BLD,Delhi NCR,1977
DELHI SADAR,KANWAR LAL GUPTA,BLD,Delhi NCR,1977
KAROL BAGH (SC),SHIV NARAIN SARSONIA,BLD,Delhi NCR,1977
LAKSHADWEEP (ST),MUHAMMED SAYEED PADANNATHA,INC,Lakshadweep,1977
PONDICHERRY,ARAVINDA BALA PAJANOR,ADK,Pondicherry,1977
SRIKAKULAM,RAJAGOPALARAO BODDEPALLI,INC(I),Andhra Pradesh,1980
PARVATHIPURAM (ST),K.C.SURYANARAYANA DEO VYRICHERLA,INC(U),Andhra Pradesh,1980
BOBBILI,P.V.GAJAPATHI RAJU,INC(I),Andhra Pradesh,1980
VISAKHAPATNAM,APPALASWAMY KOMMURU,INC(I),Andhra Pradesh,1980
BHADRACHALAM (ST),B.RADHABAI ANANDA RAO,INC(I),Andhra Pradesh,1980
ANAKAPALLI,APPALA NAIDU S.R.A.S,INC(I),Andhra Pradesh,1980
KAKINADA,SANJEEVI RAO M.S.,INC(I),Andhra Pradesh,1980
RAJAHMUNDRY,S.B.P.PATTABHI RAMA RAO,INC(I),Andhra Pradesh,1980
AMALAPURAM (SC),KUSUMA KRISHNAMURTHI,INC(I),Andhra Pradesh,1980
NARASAPUR,ALLURI SUBHASCHANDRA BOSE,INC(I),Andhra Pradesh,1980
ELURU,CHITTOORI SUBBARAO CHOWDARY,INC(I),Andhra Pradesh,1980
MACHILIPATNAM,ANKINEEDU MAGANTI,INC(I),Andhra Pradesh,1980
VIJAYAWADA,VIDYA CHENNUPATI,INC(I),Andhra Pradesh,1980
TENALI,MEDURI NAGESWARA RAO,INC(I),Andhra Pradesh,1980
GUNTUR,N. G. RANGA,INC(I),Andhra Pradesh,1980
BAPATLA,ANKINEEDU PRASADA RAO PAMULAPATI,INC(I),Andhra Pradesh,1980
NARASARAOPET,K. BRAMHANANDA REDDY,INC(I),Andhra Pradesh,1980
ONGOLE,VENKATA REDDI PULI,INC(I),Andhra Pradesh,1980
NELLORE (SC),D. KAMAKSHAIAH,INC(I),Andhra Pradesh,1980
TIRUPATHI (SC),PASALA PENCHALAIAH,INC(I),Andhra Pradesh,1980
CHITTOOR,P. RAJAGOPAL NAIDU,INC(I),Andhra Pradesh,1980
RAJAMPET,P. PARTHASARATHY,INC(I),Andhra Pradesh,1980
CUDDAPAH,K. OBUL REDDY,INC(I),Andhra Pradesh,1980
HINDUPUR,P. BAYAPA REDDY,INC(I),Andhra Pradesh,1980
ANANTAPUR,DARUR PULLAIAH,INC(I),Andhra Pradesh,1980
KURNOOL,K. VIJAYABHASKARA REDDI,INC(I),Andhra Pradesh,1980
NANDYAL,P. VENKATA SUBBAIAH,INC(I),Andhra Pradesh,1980
NAGARKURNOOL (SC),ANANTHARAMULU MALLU,INC(I),Andhra Pradesh,1980
MAHABUBNAGAR,MALLIKARJUN,INC(I),Andhra Pradesh,1980
HYDERABAD,K.S. NARAYANA,INC(I),Andhra Pradesh,1980
SECUNDERABAD,P. SHIV SHANKER,INC(I),Andhra Pradesh,1980
SIDDIPET (SC),NANDI YELLAIAH,INC(I),Andhra Pradesh,1980
MEDAK,INDIRA GANDHI,INC(I),Andhra Pradesh,1980
NIZAMABAD,M. RAMGOPAL REDDY,INC(I),Andhra Pradesh,1980
ADILABAD,G. NARASIMHA REDDY,INC(I),Andhra Pradesh,1980
PEDDAPALLI (SC),K. RAJAMALLU,INC(I),Andhra Pradesh,1980
KARIMNAGAR,M.SATYANARAYANA RAO,INC(I),Andhra Pradesh,1980
HANAMKONDA,P. V. NARSIMHA RAO,INC(I),Andhra Pradesh,1980
WARANGAL,MD. KAMALODDIN AHMED,INC(I),Andhra Pradesh,1980
KHAMMAM,KONDALA RAO JALAGAM,INC(I),Andhra Pradesh,1980
NALGONDA,T. DAMODAR REDDY,INC(I),Andhra Pradesh,1980
MIRYALGUDA,G. S. REDDY,INC(I),Andhra Pradesh,1980
ARUNACHAL WEST,PREM KHANDU THUNGON,INC(I),Arunachal Pradesh,1980
ARUNACHAL EAST,SOBENG TAYENG,INC(I),Arunachal Pradesh,1980
KARIMGANJ (SC),NIHAR RANJAN LASKAR,INC(I),Assam,1980
SILCHAR,SANTOSH MOHAN DEV (RANA DEV),INC(I),Assam,1980
BAGAHA (SC),BHOLA RAUT,INC(I),Bihar,1980
BETTIAH,KEDAR PANDEY,INC(I),Bihar,1980
MOTIHARI,KAMLA MISHRA MADHUKAR,CPI,Bihar,1980
GOPALGANJ,NAGINA RAI,INC(I),Bihar,1980
SIWAN,M. YUSUF,INC(I),Bihar,1980
MAHARAJGANJ,KRISHNA PRATAP SINGH,INC(I),Bihar,1980
CHAPRA,SATYADEO SINGH,JNP,Bihar,1980
HAJIPUR (SC),RAM VILAS PASWAN,JNP(S),Bihar,1980
VAISHALI,KISHROI SINHA,JNP,Bihar,1980
MUZAFFARPUR,GEORGE FARNANDES,JNP(S),Bihar,1980
SITAMARHI,BALIRAM BHAGAT,INC(U),Bihar,1980
SHEOHAR,RAM DULARI SINGH,INC(I),Bihar,1980
MADHUBANI,SHAFIQULLAH ANSARI,INC(I),Bihar,1980
JHANJHARPUR,DHANIK LAL MANDAL,JNP(S),Bihar,1980
DARBHANGA,HARI NATH MISHRA,INC(I),Bihar,1980
ROSERA (SC),BALESHWAR RAM,INC(I),Bihar,1980
SAMASTIPUR,AJIT KUMAR MEHTA,JNP(S),Bihar,1980
BARH,DHARMVIR SINGH,INC(U),Bihar,1980
BALIA,SURYA NARAYAN SINGH,CPI,Bihar,1980
SAHARSA,KAMAL NATH JHA,INC(I),Bihar,1980
MADHEPURA,RAJENDRA PD. YADAV,INC(U),Bihar,1980
ARARIA (SC),DUMAR LAL BAITHA,INC(I),Bihar,1980
KISHANGANJ,ZAMILUR RAHMAN,INC(I),Bihar,1980
PURNEA,MADHURI SINGH,INC(I),Bihar,1980
KATIHAR,SHAH TARIQUE ANWAR,INC(I),Bihar,1980
RAJMAHAL (ST),SETH HEMREM,INC(I),Bihar,1980
DUMKA (ST),SHIBU SIREN,IND,Bihar,1980
GODDA,SAMIN UDIN,INC(I),Bihar,1980
BANKA,CHANDRA SHEKHAR SINGH,INC(I),Bihar,1980
BHAGALPUR,BHAGWAT JHA AZAD,INC(I),Bihar,1980
KHAGARIA,SATISH PD. SINGH,INC(I),Bihar,1980
MONGER,DEVENDRA PRASAD YADAV,INC(U),Bihar,1980
BEGUSARAI,KRISHNA SHAHI,INC(I),Bihar,1980
NALANDA,VIJAY KUMAR YADAV,CPI,Bihar,1980
PATNA,RAMAVATAR SHASTRI,CPI,Bihar,1980
ARRAH,CHANDRADEO PRASAD VERMA,JNP(S),Bihar,1980
BUXAR,K. K. TIWARI,INC(I),Bihar,1980
SASARAM (SC),JAGJIWAN RAM,JNP,Bihar,1980
BIKRAMGANJ,TAPESHWAR SINGH,INC(I),Bihar,1980
AURANGABAD,SATYENDRA NARAIN SINGH,JNP,Bihar,1980
JAHANABAD,MAHENDARA PRASAD,INC(I),Bihar,1980
NAWADA (SC),KUNWAR RAM,INC(I),Bihar,1980
GAYA (SC),RAMSWAROOP RAM,INC(I),Bihar,1980
CHATRA,RANJIT SINGH,INC(I),Bihar,1980
KODARMA,REET LAL PD. VERMA,JNP,Bihar,1980
GIRIDIH,BINDESHWARI DUBEY,INC(I),Bihar,1980
DHANBAD,A. K. ROY,IND,Bihar,1980
HAZARIBAGH,KUNWAR BASANT NARAYAN SINGH,JNP,Bihar,1980
RANCHI,SHIVA PRASAD SAHU,INC(I),Bihar,1980
JAMSHEDPUR,RUDRA PRATAP SARANGI,JNP,Bihar,1980
SINGHBHUM (ST),BAGUN SUMBRUI,JNP,Bihar,1980
KHUNTI (ST),NIREL ENEM HORO,JKD,Bihar,1980
LOHARDAGA (ST),KARTIK ORAON,INC(I),Bihar,1980
PALAMAU (SC),KAMLA KUMARI,INC(I),Bihar,1980
PANAJI,RANE SIRDESSAI SAYOGITA JAIBAA,MAG,Goa Daman & Diu,1980
MORMUGAO,EDUARDO MARTINHO FALEIRO,INC(U),Goa Daman & Diu,1980
KUTCH,MEHTA MAHIPATRAY MULSHANKER,INC(I),Gujarat,1980
SURENDRANAGAR,DIGVIJAYSINH PRATAPSINHG ZALA,INC(I),Gujarat,1980
JAMNAGAR,JADEJA DOLATSINHJI PRATAPSINHJI,INC(I),Gujarat,1980
RAJKOT,MAVANI RAMJIBHAI BHURABHAI,INC(I),Gujarat,1980
PORBANDAR,ODEDRA MALDEJI MANDLIKJI,INC(I),Gujarat,1980
JUNAGADH,PATEL MOHANLAL LALJIBHAI,INC(I),Gujarat,1980
AMRELI,RAVANI NAVINCHANDRA PARMANANDDAS,INC(I),Gujarat,1980
BHAVNAGAR,GOHIL GIGABHAI BHAVUBHAI,INC(I),Gujarat,1980
DHANDHUKA (SC),MAKWANA NARSINHBHAI KARSANBHAI,INC(I),Gujarat,1980
AHMEDABAD,MAGANBHAI BAROT,INC(I),Gujarat,1980
GANDHINAGAR,AMRIT MOHANAL PATEL,INC(I),Gujarat,1980
MEHSANA,CHAUDHARY MOTIBHAI RANCHHODBHAI,JNP,Gujarat,1980
PATAN (SC),PARMAR HIRALAL RANCHHODDAS,INC(I),Gujarat,1980
BANASKANTHA,BHERAVDAN KHETDANJI GADHAVI,INC(I),Gujarat,1980
SABARKANTHA,PATEL SHANTUBHAI CUNIBHAI,INC(I),Gujarat,1980
KAPADVANJ,SOLANKI NATAVARSINHJI KESARISINHJI,INC(I),Gujarat,1980
DOHAD (ST),DAMOR SOMJIBHAI PUNJABHAI,INC(I),Gujarat,1980
GODHRA,MAHARAOL JAYDEEPSINHJI SUBHAGSINHJI,INC(I),Gujarat,1980
KAIRA,AJITSINH FULSINHJI DABHI,INC(I),Gujarat,1980
ANAND,ISHVARBHAI KHODABHAI CHAVDA,INC(I),Gujarat,1980
CHHOTA UDAIPUR (ST),RATHAWA AMARSINGHBHAI VIRIYABHAI,INC(I),Gujarat,1980
BARODA,GAEKWAD RANJITSINHJI PRATAPSINJI,INC(I),Gujarat,1980
BROACH,PATEL AHMEDBHAI MOHAMMEDBHAI,INC(I),Gujarat,1980
SURAT,PATEL CHHAGANBHAI DEVABHAI,INC(I),Gujarat,1980
MANDVI (ST),GAMIT CHHITUBHAI DEVJIBHAI,INC(I),Gujarat,1980
BULSAR (ST),PATEL UTTAMBHAI HARJIBHAI,INC(I),Gujarat,1980
AMBALA (SC),SURAJ BHAN,JNP,Haryana,1980
KURUKSHETRA,MANOHAR LAL,JNP(S),Haryana,1980
KARNAL,CHIRANJI LAL,INC(I),Haryana,1980
SONEPAT,DEVI LAL,JNP(S),Haryana,1980
ROHTAK,INDER VESH,JNP(S),Haryana,1980
FARIDABAD,TAYYAB HUSSAIN,INC(I),Haryana,1980
MAHENDRAGARH,BIRENDER SINGH,INC(I),Haryana,1980
BHIWANI,BANSI LAL,INC(I),Haryana,1980
HISSAR,MANI RAM S/O HARJI RAM,JNP(S),Haryana,1980
SIRSA (SC),DALBIR SINGH,INC(I),Haryana,1980
SIMLA (SC),KRISHAN DUTT,INC(I),Himachal Pradesh,1980
MANDI,VIR BAHADUR SINGH,INC(I),Himachal Pradesh,1980
KANGRA,VIKRAM CHAND MAHAJAN,INC(I),Himachal Pradesh,1980
HAMIRPUR,NARAIN CHAND,INC(I),Himachal Pradesh,1980
BARAMULLA,KHAWAJA MUBARAK SHAH,JKN,Jammu Kashmir,1980
SRINAGAR,FAROOQ ABDULLAH,JKN,Jammu Kashmir,1980
ANANTNAG,GH. RASOOL KOCHAK,JKN,Jammu Kashmir,1980
LADAKH,PHUNTSOG NAMGYAL,IND,Jammu Kashmir,1980
UDHAMPUR,KARAN SINGH,INC(U),Jammu Kashmir,1980
JAMMU,GIRDHARI LAL DOGRA,INC(I),Jammu Kashmir,1980
BIDAR (SC),NARSING HULLA,INC(I),Karnataka,1980
GULBARGA,DHARAMSINGH,INC(I),Karnataka,1980
RAICHUR,B.V. DESAI,INC(I),Karnataka,1980
KOPPAL,H.G. RAMULU,INC(I),Karnataka,1980
BELLARY,R.Y. GHORPADE,INC(I),Karnataka,1980
DAVANGERE,T.V. CHANDRASHEKHARAPPA,INC(I),Karnataka,1980
CHITRADURGA,K. MALLANNA,INC(I),Karnataka,1980
TUMKUR,K. LAKKAPPA,INC(I),Karnataka,1980
CHIKBALLAPUR,S.N. PRASAN KUMAR,INC(I),Karnataka,1980
KOLAR (SC),G.Y. KRISHNAN,INC(I),Karnataka,1980
KANAKAPURA,M.V. CHANDRASEKHARA MURTHY,INC(I),Karnataka,1980
BANGALORE NORTH,C.K. JAFFAR SHARIEF,INC(I),Karnataka,1980
BANGALORE SOUTH,T.R. SHAMANNA,JNP,Karnataka,1980
MANDYA,S.M. KRISHNA,INC(I),Karnataka,1980
CHAMARAJANAGAR (SC),V. SREENIVASA PRASAD,INC(I),Karnataka,1980
MYSORE,M. RAJASHEKARAMURTHY,INC(I),Karnataka,1980
MANGALORE,JANARDHANA POOJARI,INC(I),Karnataka,1980
UDUPI,OSCAR FERNANDES,INC(I),Karnataka,1980
HASSAN,H.N. NANJEGOWDA,INC(I),Karnataka,1980
CHIKMAGALUR,D.M. PUTTEGOWDA,INC(I),Karnataka,1980
SHIMOGA,S.T. QUADRI,INC(I),Karnataka,1980
KANARA,NAIK DEVARAY G.,INC(I),Karnataka,1980
DHARWAD SOUTH,MOHSIN FAKRUDDINSAB HUSSENSAB,INC(I),Karnataka,1980
DHARWAD NORTH,D.K. NAIKAR,INC(I),Karnataka,1980
BELGAUM,SIDNAL SHANMUKHAPPA BASAPPA,INC(I),Karnataka,1980
CHIKKODI (SC),B. SHANKARANAND,INC(I),Karnataka,1980
BAGALKOT,VEERENDRA PATIL,INC(I),Karnataka,1980
BIJAPUR,CHOUDHARI KALINGAPPA BHIMANNA,INC(I),Karnataka,1980
KASARAGOD,M. RAMANNA RAI,CPM,Kerala,1980
CANNANORE,K. KUNHAMBU,INC(U),Kerala,1980
BADAGARA,K.P. UNNIKRISHNAN,INC(U),Kerala,1980
CALICUT,E. K. IMBICHI BAVA,CPM,Kerala,1980
MANJERI,EBRAHIM SULAIMAN SAIT,MUL,Kerala,1980
PONNANI,BANATWALA GULAM MEHMOOD,MUL,Kerala,1980
PALGHAT,V.S. VIJAYA RAGHAVAN,INC(I),Kerala,1980
OTTAPALAM (SC),A.K. BALAN,CPM,Kerala,1980
TRICHUR,K. A. RAJAN,CPM,Kerala,1980
MUKUNDAPURAM,BALANANDAN,CPM,Kerala,1980
ERNAKULAM,XAVIER VARGHESE ARAKAL,INC(I),Kerala,1980
MUVATTUPUZHA,GEORGE JOSEPH (BABY MUNDACKAL),IND,Kerala,1980
KOTTAYAM,SKARIA THOMAS,KEC,Kerala,1980
IDUKKI,M.M. LAWRENCE,CPM,Kerala,1980
ALLEPPEY,SUSEELA GOPALANA,CPM,Kerala,1980
MAVELIKARA,P. J. KURIEN,INC(U),Kerala,1980
ADOOR (SC),P. K. KODIYAN,CPI,Kerala,1980
QUILON,B. K. NAIR,INC(I),Kerala,1980
CHIRAYINKIL,A. A. RAHIM,INC(I),Kerala,1980
TRIVANDRUM,A. NEELALOHITHADASAN NADAR,INC(I),Kerala,1980
MORENA (SC),BABULAL SOLANKI,INC(I),Madhya Pradesh,1980
BHIND,KALICHARAN SHARMA,INC(I),Madhya Pradesh,1980
GWALIOR,NARAYAN KRISHNARAO SHEJWALKAR,JNP,Madhya Pradesh,1980
GUNA,MADHAVRAO SEINDIA,INC(I),Madhya Pradesh,1980
SAGAR (SC),SAHODRABAI RAI,INC(I),Madhya Pradesh,1980
